Data,Descrição,Categoria,Valor
2024-01-15,Salário Janeiro,Receitas,5000.00
2024-01-16,Supermercado,Alimentação,-350.50
2024-01-17,Combustível,Transporte,-120.00
2024-01-18,Freelance Design,Receitas,800.00
2024-01-19,Restaurante,Alimentação,-85.30
2024-01-20,Netflix,Entretenimento,-39.90
2024-01-21,Academia,Saúde,-89.90
2024-01-22,Investimento em Ações,Investimentos,-500.00
2024-01-23,Aluguel,Moradia,-1200.00
2024-01-24,Conta de Luz,Moradia,-150.00
2024-01-25,Conta de Água,Moradia,-45.00
2024-01-26,Uber,Transporte,-25.50
2024-01-27,Farmácia,Saúde,-67.80
2024-01-28,Presente Aniversário,Outros,-120.00
2024-01-29,Spotify,Entretenimento,-19.90
2024-01-30,Seguro do Carro,Transporte,-180.00 